PLAYUC,TIME,SCORE,MAR,PLAYVisitor
MISSEDJUMPERbyLarrierTerry,19:30,,,REBOUND(DEF)byGRESHAMDonnell
,19:20,0-3,-3,GOOD!3PTRbyMILLERJeremy
,19:20,,,ASSISTbyWILLIAMSTJ
TURNOVRbyBrimahAmida,19:06,,,
,19:05,,,STEALbyMURPHYAlex
,18:56,,,MISSED3PTRbyOCCEUSShawn
,18:56,,,REBOUND(OFF)byMILLERJeremy
BLOCKbyBrimahAmida,18:48,,,MISSEDDUNKbyGRESHAMDonnell
,18:48,,,REBOUND(OFF)by(TEAM)
,18:43,0-6,-6,GOOD!3PTRbyOCCEUSShawn
MISSEDJUMPERbyBrimahAmida,18:23,,,
REBOUND(OFF)byBrimahAmida,18:23,,,
GOOD!LAYUPbyAdamsJalen[PNT],18:19,2-6,-4,
MISSEDFTSHOTbyAdamsJalen,18:19,,,FOULbyMILLERJeremy(P1T1)
,18:19,,,REBOUND(DEF)byMURPHYAlex
REBOUND(DEF)byAdamsJalen,18:05,,,MISSED3PTRbyMILLERJeremy
MISSEDLAYUPbyGilbertAlterique,17:51,,,REBOUND(DEF)byMURPHYAlex
FOULbyLarrierTerry(P1T1),17:46,,,MISSEDFTSHOTbyMURPHYAlex
,17:46,,,REBOUND(OFF)by(DEADBALL)
,17:46,2-7,-5,GOOD!FTSHOTbyMURPHYAlex
SUBIN:PurvisRodney,17:46,,,
SUBOUT:LarrierTerry,17:46,,,
MISSEDJUMPERbyGilbertAlterique,17:23,,,REBOUND(DEF)byMURPHYAlex
,17:09,2-10,-8,GOOD!3PTRbyGRESHAMDonnell
,17:09,,,ASSISTbyWILLIAMSTJ
MISSEDLAYUPbyAdamsJalen,16:48,,,
REBOUND(OFF)byBrimahAmida,16:48,,,
MISSEDTIP-INbyBrimahAmida,16:46,,,REBOUND(DEF)byWILLIAMSTJ
BLOCKbyBrimahAmida,16:41,,,MISSEDLAYUPbyOCCEUSShawn
,16:40,,,REBOUND(OFF)by(TEAM)
SUBIN:EnochSteven,16:40,,,
SUBOUT:BrimahAmida,16:40,,,
REBOUND(DEF)byJacksonVance,16:33,,,MISSED3PTRbyOCCEUSShawn
MISSEDLAYUPbyEnochSteven,16:19,,,
REBOUND(OFF)byEnochSteven,16:19,,,
MISSEDTIP-INbyEnochSteven,16:17,,,
REBOUND(OFF)byEnochSteven,16:17,,,
GOOD!TIP-INbyEnochSteven[PNT],16:14,4-10,-6,
,15:59,4-12,-8,GOOD!LAYUPbyMURPHYAlex[PNT]
FOULbyEnochSteven(P1T2),15:59,,,
,15:58,,,TIMEOUTmedia
