PLAYHome,TIME,SCORE,MAR,PLAYUC
MISSEDJUMPERbyBROWNBrandon,19:32,,,REBOUND(DEF)byBrimahAmida
,19:23,0-2,+2,GOOD!DUNKbyLarrierTerry[PNT]
,19:23,,,ASSISTbyGilbertAlterique
GOOD!3PTRbyHANEYSteven,19:00,3-2,-1,
ASSISTbyTUACHBuay,19:00,,,
FOULbyJOHNSONShamar(P1T1),18:34,3-3,-0,GOOD!FTSHOTbyBrimahAmida
REBOUND(DEF)byJOVANOVICStefan,18:34,,,MISSEDFTSHOTbyBrimahAmida
GOOD!JUMPERbyJOVANOVICStefan,18:19,5-3,-2,
ASSISTbyBROWNBrandon,18:19,,,
REBOUND(DEF)byHANEYSteven,17:48,,,MISSED3PTRbyGilbertAlterique
GOOD!LAYUPbyJOVANOVICStefan[PNT],17:19,7-3,-4,
ASSISTbyBROWNBrandon,17:19,,,
REBOUND(DEF)byJOHNSONShamar,16:59,,,MISSED3PTRbyAdamsJalen
TURNOVRbyJOVANOVICStefan,16:41,,,
,16:40,,,STEALbyGilbertAlterique
FOULbyHANEYSteven(P1T2),16:37,7-4,-3,GOOD!FTSHOTbyGilbertAlterique
,16:37,7-5,-2,GOOD!FTSHOTbyGilbertAlterique
MISSEDJUMPERbyJOHNSONShamar,16:22,,,BLOCKbyBrimahAmida
REBOUND(OFF)by(TEAM),16:21,,,
,16:12,,,FOULbyLarrierTerry(P1T1)
TURNOVRbyJOVANOVICStefan,15:56,,,
FOULbyJOVANOVICStefan(P1T3),15:56,,,
,15:56,,,TIMEOUTMEDIA
SUBIN:MARKUSSONMattias,15:56,,,
SUBOUT:JOVANOVICStefan,15:56,,,
,15:44,,,TURNOVRbyBrimahAmida
SUBIN:JOHANSSONErik,15:44,,,
SUBIN:AMAYOKelvin,15:44,,,
SUBOUT:HANEYSteven,15:44,,,
SUBOUT:JOHNSONShamar,15:44,,,
MISSED3PTRbyAMAYOKelvin,15:12,,,REBOUND(DEF)byBrimahAmida
FOULbyBROWNBrandon(P1T4),14:46,,,MISSEDFTSHOTbyAdamsJalen
,14:46,,,REBOUND(OFF)by(DEADBALL)
REBOUND(DEF)byAMAYOKelvin,14:46,,,MISSEDFTSHOTbyAdamsJalen
,14:46,,,SUBIN:VitalChristian
,14:46,,,SUBIN:EnochSteven
,14:46,,,SUBOUT:BrimahAmida
,14:46,,,SUBOUT:PurvisRodney
TURNOVRbyJOHANSSONErik,14:32,,,
,14:20,7-8,+1,GOOD!3PTRbyVitalChristian
,14:20,,,ASSISTbyLarrierTerry
GOOD!LAYUPbyAMAYOKelvin[PNT],14:10,9-8,-1,
,13:45,,,MISSEDJUMPERbyLarrierTerry
,13:45,,,REBOUND(OFF)byEnochSteven
,13:43,9-10,+1,GOOD!LAYUPbyEnochSteven[PNT]
SUBIN:HANEYSteven,13:30,,,SUBIN:PurvisRodney
SUBIN:McCLENDONJeffery,13:30,,,SUBOUT:LarrierTerry
SUBOUT:JOHANSSONErik,13:30,,,
SUBOUT:TUACHBuay,13:30,,,
GOOD!3PTRbyBROWNBrandon,13:28,12-10,-2,
,13:09,12-12,-0,GOOD!JUMPERbyLarrierTerry
,13:09,,,ASSISTbyAdamsJalen
,12:59,,,SUBIN:LarrierTerry
,12:59,,,SUBOUT:GilbertAlterique
GOOD!JUMPERbyBROWNBrandon,12:44,14-12,-2,
,12:23,14-15,+1,GOOD!3PTRbyLarrierTerry
,12:23,,,ASSISTbyAdamsJalen
MISSEDJUMPERbyBROWNBrandon,12:07,,,REBOUND(DEF)byAdamsJalen
REBOUND(DEF)byHANEYSteven,11:58,,,MISSED3PTRbyVitalChristian
MISSED3PTRbyHANEYSteven,11:41,,,REBOUND(DEF)byPurvisRodney
FOULbyBROWNBrandon(P2T5),11:31,,,
,11:27,,,TIMEOUTMEDIA
SUBIN:TUTUMunis,11:27,,,SUBIN:JacksonVance
SUBOUT:BROWNBrandon,11:27,,,SUBOUT:VitalChristian
,11:19,,,TURNOVRbyEnochSteven
,11:19,,,FOULbyEnochSteven(P1T2)
,11:19,,,SUBIN:GilbertAlterique
,11:19,,,SUBOUT:AdamsJalen
,11:13,,,FOULbyPurvisRodney(P1T3)
GOOD!FTSHOTbyAMAYOKelvin,10:57,15-15,-0,FOULbyEnochSteven(P2T4)
GOOD!FTSHOTbyAMAYOKelvin,10:57,16-15,-1,
SUBIN:JOVANOVICStefan,10:57,,,SUBIN:BrimahAmida
SUBOUT:MARKUSSONMattias,10:57,,,SUBOUT:PurvisRodney
,10:49,,,TURNOVRbyGilbertAlterique
STEALbyMcCLENDONJeffery,10:47,,,
GOOD!DUNKbyAMAYOKelvin[PNT],10:41,18-15,-3,
ASSISTbyMcCLENDONJeffery,10:41,,,
FOULbyMcCLENDONJeffery(P1T6),10:29,,,
,10:29,,,SUBIN:AdamsJalen
,10:29,,,SUBIN:FaceyKentan
,10:29,,,SUBOUT:JacksonVance
,10:29,,,SUBOUT:LarrierTerry
,10:22,,,MISSED3PTRbyPurvisRodney
,10:22,,,REBOUND(OFF)byFaceyKentan
FOULbyHANEYSteven(P2T7),10:18,18-16,-2,GOOD!FTSHOTbyFaceyKentan
,10:18,18-17,-1,GOOD!FTSHOTbyFaceyKentan
SUBIN:BROWNBrandon,10:18,,,
SUBOUT:HANEYSteven,10:18,,,
MISSED3PTRbyBROWNBrandon,10:07,,,REBOUND(DEF)byPurvisRodney
,09:55,18-19,+1,GOOD!DUNKbyBrimahAmida[PNT]
,09:55,,,ASSISTbyAdamsJalen
MISSEDJUMPERbyJOVANOVICStefan,09:35,,,BLOCKbyBrimahAmida
,09:34,,,REBOUND(DEF)byAdamsJalen
,09:31,18-21,+3,GOOD!DUNKbyBrimahAmida[FB/PNT]
,09:31,,,ASSISTbyPurvisRodney
TIMEOUT30sec,09:27,,,
SUBIN:JOHNSONShamar,09:27,,,SUBIN:PurvisRodney
SUBOUT:JOVANOVICStefan,09:27,,,SUBOUT:EnochSteven
MISSED3PTRbyAMAYOKelvin,09:01,,,REBOUND(DEF)byFaceyKentan
,08:33,18-23,+5,GOOD!JUMPERbyGilbertAlterique
TURNOVRbyMcCLENDONJeffery,08:08,,,
,08:07,,,STEALbyPurvisRodney
FOULbyTUTUMunis(P1T8),08:04,,,MISSEDFTSHOTbyPurvisRodney
,08:04,,,REBOUND(OFF)by(DEADBALL)
,08:04,18-24,+6,GOOD!FTSHOTbyPurvisRodney
SUBIN:TUACHBuay,08:04,,,SUBIN:LarrierTerry
SUBIN:JOHANSSONErik,08:04,,,SUBOUT:FaceyKentan
SUBIN:HANEYSteven,08:04,,,
SUBOUT:TUTUMunis,08:04,,,
SUBOUT:AMAYOKelvin,08:04,,,
SUBOUT:McCLENDONJeffery,08:04,,,
GOOD!LAYUPbyJOHNSONShamar[PNT],07:44,20-24,+4,
ASSISTbyTUACHBuay,07:44,,,
,07:27,20-26,+6,GOOD!LAYUPbyPurvisRodney[PNT]
,07:27,,,ASSISTbyGilbertAlterique
FOULbyTUACHBuay(P1T9),07:27,,,
,07:27,,,TIMEOUTMEDIA
REBOUND(DEF)byHANEYSteven,07:27,,,MISSEDFTSHOTbyPurvisRodney
GOOD!JUMPERbyBROWNBrandon,07:11,22-26,+4,
,06:51,22-29,+7,GOOD!3PTRbyGilbertAlterique
,06:51,,,ASSISTbyAdamsJalen
MISSEDJUMPERbyBROWNBrandon,06:36,,,
REBOUND(OFF)byJOHNSONShamar,06:36,,,
MISSEDJUMPERbyJOHNSONShamar,06:32,,,REBOUND(DEF)byGilbertAlterique
SUBIN:TUTUMunis,06:17,,,
SUBOUT:BROWNBrandon,06:17,,,
REBOUND(DEF)byTUACHBuay,06:08,,,MISSED3PTRbyLarrierTerry
MISSED3PTRbyJOHANSSONErik,06:01,,,
REBOUND(OFF)byTUTUMunis,06:01,,,
MISSED3PTRbyHANEYSteven,05:56,,,REBOUND(DEF)byBrimahAmida
,05:46,22-31,+9,GOOD!JUMPERbyGilbertAlterique[PNT]
FOULbyTUTUMunis(P2T10),05:46,22-32,+10,GOOD!FTSHOTbyGilbertAlterique
,05:46,,,SUBIN:FaceyKentan
,05:46,,,SUBIN:VitalChristian
,05:46,,,SUBOUT:AdamsJalen
,05:46,,,SUBOUT:BrimahAmida
MISSED3PTRbyTUACHBuay,05:37,,,REBOUND(DEF)by(TEAM)
REBOUND(DEF)byJOHANSSONErik,05:12,,,MISSED3PTRbyPurvisRodney
MISSED3PTRbyTUTUMunis,04:51,,,
REBOUND(OFF)by(TEAM),04:51,,,
,04:46,,,FOULbyVitalChristian(P1T5)
SUBIN:BROWNBrandon,04:46,,,
SUBIN:AMAYOKelvin,04:46,,,
SUBOUT:JOHANSSONErik,04:46,,,
SUBOUT:HANEYSteven,04:46,,,
GOOD!JUMPERbyJOHNSONShamar,04:45,24-32,+8,
ASSISTbyBROWNBrandon,04:45,,,
,04:28,,,MISSED3PTRbyPurvisRodney
,04:28,,,REBOUND(OFF)byLarrierTerry
