PLAYUC,TIME,SCORE,MAR,PLAYVisitor
TURNOVRbyAdamsJalen,19:47,,,
,19:46,,,STEALbyFortePhil
REBOUND(DEF)byPurvisRodney,19:35,,,MISSED3PTRbyHammondsLeyton
TURNOVRbyAdamsJalen,19:19,,,
,19:18,,,STEALbyWatersLindy
BLOCKbyBrimahAmida,19:15,,,MISSEDLAYUPbyHammondsLeyton
,19:12,,,REBOUND(OFF)byFortePhil
REBOUND(DEF)byFaceyKentan,19:07,,,MISSEDLAYUPbyEvansJawun
MISSEDLAYUPbyPurvisRodney,18:59,,,BLOCKbySolomonMitchell
,18:57,,,REBOUND(DEF)byFortePhil
,18:50,0-3,-3,GOOD!3PTRbyFortePhil
,18:50,,,ASSISTbyEvansJawun
MISSEDJUMPERbyLarrierTerry,18:35,,,REBOUND(DEF)bySolomonMitchell
REBOUND(DEF)byLarrierTerry,18:25,,,MISSEDJUMPERbyEvansJawun
GOOD!LAYUPbyAdamsJalen[PNT],18:05,2-3,-1,
REBOUND(DEF)byPurvisRodney,17:53,,,MISSED3PTRbyWatersLindy
,17:33,,,FOULbyHammondsLeyton(P1T1)
GOOD!FTSHOTbyBrimahAmida,17:19,3-3,0,FOULbySolomonMitchell(P1T2)
MISSEDFTSHOTbyBrimahAmida,17:19,,,REBOUND(DEF)byHammondsLeyton
,17:12,3-6,-3,GOOD!3PTRbyEvansJawun
TURNOVRbyAdamsJalen,16:55,,,
,16:53,,,STEALbyFortePhil
FOULbyFaceyKentan(P1T1),16:49,,,MISSEDFTSHOTbyWatersLindy
,16:49,,,REBOUND(OFF)by(DEADBALL)
,16:49,3-7,-4,GOOD!FTSHOTbyWatersLindy
SUBIN:VitalChristian,16:49,,,SUBIN:McGriffCameron
SUBIN:EnochSteven,16:49,,,SUBIN:CarrollJeffrey
SUBOUT:PurvisRodney,16:49,,,SUBOUT:SolomonMitchell
SUBOUT:BrimahAmida,16:49,,,SUBOUT:WatersLindy
TURNOVRbyAdamsJalen,16:39,,,STEALbyMcGriffCameron
FOULbyEnochSteven(P1T2),16:39,,,
,16:39,,,SUBIN:ShineTavarius
,16:39,,,SUBOUT:EvansJawun
,16:30,3-10,-7,GOOD!3PTRbyShineTavarius
,16:30,,,ASSISTbyHammondsLeyton
