PLAYHome,TIME,SCORE,MAR,PLAYUC
FOULbyShastriKiran(P1T1),19:46,,,
,19:42,,,MISSEDJUMPERbyPurvisRodney
,19:42,,,REBOUND(OFF)byFaceyKentan
,19:36,0-2,2,GOOD!LAYUPbyFaceyKentan[PNT]
GOOD!JUMPERbyGoodwinRohndell,19:24,2-2,0,
,19:10,,,TURNOVRbyBrimahAmida
,19:10,,,FOULbyBrimahAmida(P1T1)
,19:10,,,SUBIN:EnochSteven
,19:10,,,SUBOUT:BrimahAmida
GOOD!LAYUPbyDalySam[PNT],18:53,4-2,-2,
ASSISTbyGoodwinRohndell,18:53,,,
,18:46,,,TURNOVRbyAdamsJalen
MISSED3PTRbyShastriKiran,18:22,,,
REBOUND(OFF)byKuanyKuany,18:22,,,
,18:22,,,FOULbyEnochSteven(P1T2)
GOOD!FTSHOTbyDalySam,18:08,5-2,-3,FOULbyJacksonVance(P1T3)
MISSEDFTSHOTbyDalySam,18:08,,,REBOUND(DEF)byFaceyKentan
,18:08,,,SUBIN:DurhamJuwan
,18:08,,,SUBOUT:EnochSteven
,17:53,,,MISSED3PTRbyPurvisRodney
,17:53,,,REBOUND(OFF)byAdamsJalen
,17:49,5-4,-1,GOOD!LAYUPbyAdamsJalen[PNT]
GOOD!3PTRbyGoodwinRohndell,17:34,8-4,-4,
,17:24,8-7,-1,GOOD!3PTRbyJacksonVance
,17:24,,,ASSISTbyAdamsJalen
MISSEDLAYUPbyGoodwinRohndell,17:10,,,REBOUND(DEF)byDurhamJuwan
BLOCKbyPopeAustin,17:04,,,MISSEDLAYUPbyAdamsJalen
REBOUND(DEF)byGoodwinRohndell,17:02,,,
GOOD!LAYUPbyPopeAustin[PNT],16:5710-7,-3,
GOOD!FTSHOTbyPopeAustin,16:57,11-7,-4,FOULbyFaceyKentan(P1T4)
,16:57,,,SUBIN:VitalChristian
,16:57,,,SUBOUT:FaceyKentan
,16:41,11-10,-1,GOOD!3PTRbyJacksonVance
,16:41,,,ASSISTbyPurvisRodney
GOOD!3PTRbyShastriKiran,16:11,14-10,-4,
REBOUND(DEF)byPopeAustin,15:51,,,MISSED3PTRbyJacksonVance
MISSED3PTRbyKuanyKuany,15:35,,,REBOUND(DEF)byDurhamJuwan
,15:24,14-12,-2,GOOD!LAYUPbyJacksonVance[PNT]
,15:24,,,ASSISTbyAdamsJalen
MISSED3PTRbyGoodwinRohndell,15:05,,,REBOUND(DEF)byAdamsJalen
REBOUND(DEF)byKuanyKuany,14:53,,,MISSEDJUMPERbyAdamsJalen
GOOD!LAYUPbyGoodwinRohndell[PNT],14:38,16-12,-4,
FOULbyGoodwinRohndell(P1T2),14:13,,,
,14:13,,,TIMEOUTMEDIA
,14:13,16-13,-3,GOOD!FTSHOTbyJacksonVance
REBOUND(DEF)byPollardNate,14:13,,,MISSEDFTSHOTbyJacksonVance
SUBIN:WalkerDantley,14:13,,,SUBIN:EnochSteven
SUBIN:PollardNate,14:13,,,SUBOUT:DurhamJuwan
SUBOUT:ShastriKiran,14:13,,,
SUBOUT:DalySam,14:13,,,
GOOD!FTSHOTbyKuanyKuany,14:03,17-13,-4,FOULbyJacksonVance(P2T5)
GOOD!FTSHOTbyKuanyKuany,14:03,18-13,-5,
,14:03,,,SUBIN:FaceyKentan
,14:03,,,SUBOUT:JacksonVance
,13:50,18-16,-2,GOOD!3PTRbyVitalChristian
,13:50,,,ASSISTbyAdamsJalen
TURNOVRbyKuanyKuany,13:24,,,
,13:11,18-18,0,GOOD!JUMPERbyAdamsJalen[PNT]
MISSED3PTRbyGoodwinRohndell,12:39,,,
REBOUND(OFF)byPopeAustin,12:39,,,
MISSED3PTRbyWalkerDantley,12:29,,,REBOUND(DEF)byPurvisRodney
SUBIN:ShastriKiran,12:11,,,
SUBIN:DalySam,12:11,,,
SUBOUT:PopeAustin,12:11,,,
SUBOUT:GoodwinRohndell,12:11,,,
,11:57,,,MISSED3PTRbyPurvisRodney
,11:57,,,REBOUND(OFF)byEnochSteven
,11:54,,,TURNOVRbyEnochSteven
TIMEOUTMEDIA,11:54,,,
,11:54,,,SUBIN:BrimahAmida
,11:54,,,SUBOUT:EnochSteven
GOOD!3PTRbyShastriKiran,11:45,21-18,-3,
ASSISTbyDalySam,11:45,,,
,11:27,21-21,0,GOOD!3PTRbyVitalChristian
,11:27,,,ASSISTbyPurvisRodney
GOOD!3PTRbyShastriKiran,11:07,24-21,-3,
ASSISTbyKuanyKuany,11:07,,,
,10:43,24-23,-1,GOOD!JUMPERbyAdamsJalen
GOOD!3PTRbyWalkerDantley,10:25,27-23,-4,
ASSISTbyDalySam,10:25,,,
FOULbyPollardNate(P1T3),10:11,,,MISSEDFTSHOTbyPurvisRodney
,10:11,,,REBOUND(OFF)by(DEADBALL)
,10:11,27-24,-3,GOOD!FTSHOTbyPurvisRodney
SUBIN:GoodwinRohndell,10:11,,,SUBIN:DurhamJuwan
SUBOUT:PollardNate,10:11,,,SUBOUT:FaceyKentan
MISSED3PTRbyShastriKiran,09:59,,,REBOUND(DEF)byBrimahAmida
,09:52,27-26,-1,GOOD!LAYUPbyAdamsJalen[FB/PNT]
MISSED3PTRbyGoodwinRohndell,09:31,,,REBOUND(DEF)byBrimahAmida
,09:25,27-28,1,GOOD!LAYUPbyAdamsJalen[PNT]
FOULbyShastriKiran(P2T4),09:25,27-29,2,GOOD!FTSHOTbyAdamsJalen
TURNOVRbyKuanyKuany,09:17,,,
FOULbyKuanyKuany(P1T5),09:17,,,
,09:05,,,TURNOVRbyPurvisRodney
SUBIN:PopeAustin,09:05,,,
SUBOUT:ShastriKiran,09:05,,,
GOOD!JUMPERbyGoodwinRohndell,08:52,29-29,0,
,08:39,,,TURNOVRbyBrimahAmida
,08:39,,,FOULbyBrimahAmida(P2T6)
,08:39,,,SUBIN:EnochSteven
,08:39,,,SUBOUT:BrimahAmida
MISSEDLAYUPbyDalySam,08:12,,,REBOUND(DEF)byAdamsJalen
FOULbyKuanyKuany(P2T6),08:10,,,
,08:01,,,TURNOVRbyEnochSteven
MISSEDLAYUPbyGoodwinRohndell,07:47,,,REBOUND(DEF)byEnochSteven
,07:39,29-31,2,GOOD!LAYUPbyEnochSteven[FB/PNT]
,07:39,,,ASSISTbyAdamsJalen
MISSEDLAYUPbyGoodwinRohndell,07:21,,,BLOCKbyVitalChristian
,07:19,,,REBOUND(DEF)byAdamsJalen
,07:13,29-33,4,GOOD!JUMPERbyPurvisRodney[FB]
,07:13,,,ASSISTbyVitalChristian
TIMEOUT30sec,07:13,,,
TIMEOUTMEDIA,07:13,,,
MISSEDLAYUPbyPopeAustin,06:59,,,BLOCKbyDurhamJuwan
REBOUND(OFF)by(TEAM),06:59,,,
MISSEDLAYUPbyPopeAustin,06:55,,,REBOUND(DEF)byVitalChristian
,06:36,29-35,6,GOOD!LAYUPbyEnochSteven[FB/PNT]
