PLAYHome,TIME,SCORE,MAR,PLAYUC
,19:40,,,,0-2,-2,GOOD!LAYUPbyEnnisDylan[PNT]
,19:40,,,ASSISTbyBoucherChris
MISSEDJUMPERbyAdamsJalen,19:29,,,REBOUND(DEF)byEnnisDylan
,19:22,,,,0-4,-4,GOOD!DUNKbyBellJordan[FB/PNT]
,19:22,,,ASSISTbyEnnisDylan
TIMEOUT30sec,19:19,,,
MISSED3PTRbyPurvisRodney,19:03,,,REBOUND(DEF)byEnnisDylan
,18:50,,,,0-7,-7,GOOD!3PTRbyPritchardPayton
,18:50,,,ASSISTbyEnnisDylan
TURNOVRbyAdamsJalen,18:39,,,
,18:37,,,STEALbyEnnisDylan
,18:37,,,,0-9,-9,GOOD!LAYUPbyEnnisDylan[FB/PNT]
FOULbyAdamsJalen(P1T1),18:37,0-10,-10,GOOD!FTSHOTbyEnnisDylan
GOOD!FTSHOTbyBrimahAmida,18:15,1-10,-9,FOULbyPritchardPayton(P1T1)
GOOD!FTSHOTbyBrimahAmida,18:15,2-10,-8,
,17:49,,,,2-13,-11,GOOD!3PTRbyBoucherChris
,17:49,,,ASSISTbyEnnisDylan
TURNOVRbyJacksonVance,17:48,,,
FOULbyJacksonVance(P1T2),17:48,,,
,17:28,,,TURNOVRbyBoucherChris
MISSED3PTRbyJacksonVance,17:08,,,
REBOUND(OFF)byBrimahAmida,17:08,,,
MISSEDLAYUPbyBrimahAmida,17:05,,,BLOCKbyBoucherChris
,17:03,,,REBOUND(DEF)byBellJordan
FOULbyAdamsJalen(P2T3),17:03,,,
SUBIN:VitalChristian,17:03,,,
SUBOUT:AdamsJalen,17:03,,,
,16:41,,,TURNOVRbyBellJordan
,16:41,,,FOULbyBellJordan(P1T2)
SUBIN:DurhamJuwan,16:41,,,SUBIN:BrooksDillon
SUBOUT:FaceyKentan,16:41,,,SUBOUT:BellJordan
GOOD!FTSHOTbyBrimahAmida,16:21,3-13,-10,FOULbyBoucherChris(P1T3)
MISSEDFTSHOTbyBrimahAmida,16:21,,,REBOUND(DEF)byEnnisDylan
,16:21,,,SUBIN:BensonCasey
,16:21,,,SUBOUT:PritchardPayton
,16:11,,,,3-15,-12,GOOD!DUNKbyBoucherChris[FB/PNT]
,16:11,,,ASSISTbyBrooksDillon
MISSEDLAYUPbyVitalChristian,15:46,,,BLOCKbyBoucherChris
,15:43,,,REBOUND(DEF)byBoucherChris
,15:35,,,,3-18,-15,GOOD!3PTRbyDorseyTyler
,15:35,,,ASSISTbyBoucherChris
GOOD!LAYUPbyDurhamJuwan[PNT],15:05,5-18,-13,
ASSISTbyBrimahAmida,15:05,,,
,14:42,,,,5-21,-16,GOOD!3PTRbyDorseyTyler
,14:42,,,ASSISTbyEnnisDylan
GOOD!LAYUPbyVitalChristian[PNT],14:28,7-21,-14,
ASSISTbyDurhamJuwan,14:19,,,
,14:12,,,MISSED3PTRbyEnnisDylan
,14:12,,,REBOUND(OFF)byDorseyTyler
,14:06,,,,7-23,-16,GOOD!JUMPERbyBrooksDillon
,13:58,,,FOULbyBrooksDillon(P1T4)
TIMEOUTmedia,13:58,,,
SUBIN:FaceyKentan,13:58,,,SUBIN:Bigby-WilliamsKave
SUBIN:AdamsJalen,13:58,,,SUBOUT:BoucherChris
SUBIN:EnochSteven,13:58,,,
SUBOUT:JacksonVance,13:58,,,
SUBOUT:BrimahAmida,13:58,,,
SUBOUT:DurhamJuwan,13:58,,,
TURNOVRbyEnochSteven,13:45,,,
FOULbyEnochSteven(P1T4),13:45,,,
,13:33,,,TURNOVRbyBigby-WilliamsKave
STEALbyEnochSteven,13:31,,,
MISSEDLAYUPbyAdamsJalen,13:19,,,REBOUND(DEF)byBigby-WilliamsKave
,12:53,,,,7-25,-18,GOOD!LAYUPbyBrooksDillon[PNT]
FOULbyEnochSteven(P2T5),12:53,7-26,-19,GOOD!FTSHOTbyBrooksDillon
SUBIN:BrimahAmida,12:53,,,SUBIN:PritchardPayton
SUBOUT:EnochSteven,12:53,,,SUBOUT:EnnisDylan
GOOD!LAYUPbyAdamsJalen[PNT],12:33,9-26,-17,
ASSISTbyBrimahAmida,12:33,,,
,12:28,,,TURNOVRbyBigby-WilliamsKave
,12:28,,,FOULbyBigby-WilliamsKave(P1T5)
,12:28,,,SUBIN:BellJordan
,12:28,,,SUBOUT:Bigby-WilliamsKave
MISSED3PTRbyPurvisRodney,12:20,,,REBOUND(DEF)by(TEAM)
,11:59,,,,9-28,-19,GOOD!JUMPERbyDorseyTyler
,11:59,,,ASSISTbyBrooksDillon
MISSEDLAYUPbyAdamsJalen,11:32,,,REBOUND(DEF)by(TEAM)
FOULbyBrimahAmida(P1T6),11:31,,,
,11:31,,,TIMEOUTmedia
SUBIN:JacksonVance,11:31,,,SUBIN:BoucherChris
SUBOUT:FaceyKentan,11:31,,,SUBOUT:BrooksDillon
,11:16,,,MISSED3PTRbyDorseyTyler
,11:16,,,REBOUND(OFF)byBellJordan
,10:54,,,,9-30,-21,GOOD!JUMPERbyBellJordan
,10:54,,,ASSISTbyBensonCasey
MISSED3PTRbyVitalChristian,10:27,,,REBOUND(DEF)byBellJordan
REBOUND(DEF)byVitalChristian,10:14,,,MISSEDJUMPERbyBensonCasey
GOOD!DUNKbyBrimahAmida[PNT],09:51,11-30,-19,
ASSISTbyJacksonVance,09:51,,,
REBOUND(DEF)byAdamsJalen,09:21,,,MISSED3PTRbyBellJordan
GOOD!LAYUPbyAdamsJalen[FB/PNT],09:15,13-30,-17,
GOOD!FTSHOTbyAdamsJalen,09:14,14-30,-16,FOULbyBensonCasey(P1T6)
,09:14,,,SUBIN:EnnisDylan
,09:14,,,SUBOUT:DorseyTyler
,08:52,,,TURNOVRbyPritchardPayton
,08:52,,,SUBIN:BrooksDillon
,08:52,,,SUBOUT:BensonCasey
GOOD!3PTRbyPurvisRodney,08:34,17-30,-13,
ASSISTbyAdamsJalen,08:34,,,
FOULbyPurvisRodney(P1T7),08:15,17-31,-14,GOOD!FTSHOTbyBrooksDillon
,08:15,,,,17-32,-15,GOOD!FTSHOTbyBrooksDillon
,08:15,,,SUBIN:SmithKeith
,08:15,,,SUBOUT:BellJordan
,07:55,,,FOULbyBoucherChris(P2T7)
TIMEOUTmedia,07:55,,,
GOOD!FTSHOTbyJacksonVance,07:55,18-32,-14,
MISSEDFTSHOTbyJacksonVance,07:55,,,REBOUND(DEF)byBellJordan
,07:55,,,SUBIN:BellJordan
,07:55,,,SUBOUT:BoucherChris
BLOCKbyBrimahAmida,07:35,,,MISSEDLAYUPbySmithKeith
REBOUND(DEF)byVitalChristian,07:32,,,
MISSEDLAYUPbyVitalChristian,07:07,,,
REBOUND(OFF)byBrimahAmida,07:07,,,
GOOD!DUNKbyBrimahAmida[PNT],07:05,20-32,-12,
REBOUND(DEF)byAdamsJalen,06:36,,,MISSEDJUMPERbyEnnisDylan
GOOD!LAYUPbyBrimahAmida[FB/PNT],06:26,22-32,-10,
ASSISTbyAdamsJalen,06:26,,,
,06:25,,,TIMEOUT30sec
,06:25,,,SUBIN:DorseyTyler
,06:25,,,SUBOUT:SmithKeith
FOULbyBrimahAmida(P2T8),06:13,22-33,-11,GOOD!FTSHOTbyBellJordan
,06:13,,,,22-34,-12,GOOD!FTSHOTbyBellJordan
SUBIN:EnochSteven,06:13,,,
SUBOUT:BrimahAmida,06:13,,,
TURNOVRbyAdamsJalen,05:48,,,
,05:47,,,STEALbyEnnisDylan
,05:23,,,TURNOVRbyBellJordan
GOOD!3PTRbyPurvisRodney,05:03,25-34,-9,
ASSISTbyVitalChristian,05:03,,,
,04:48,,,TURNOVRbyBrooksDillon
,04:48,,,FOULbyBrooksDillon(P2T8)
,04:48,,,SUBIN:BoucherChris
,04:48,,,SUBOUT:BrooksDillon
MISSED3PTRbyJacksonVance,04:32,,,REBOUND(DEF)byDorseyTyler
REBOUND(DEF)byJacksonVance,04:27,,,MISSEDLAYUPbyDorseyTyler
MISSED3PTRbyVitalChristian,04:11,,,REBOUND(DEF)byBoucherChris
,04:01,,,MISSED3PTRbyPritchardPayton
,04:01,,,REBOUND(OFF)byBoucherChris
,03:42,,,MISSED3PTRbyBoucherChris
,03:42,,,REBOUND(OFF)byPritchardPayton
,03:13,,,MISSED3PTRbyPritchardPayton
,03:13,,,REBOUND(OFF)byPritchardPayton
FOULbyVitalChristian(P1T9),03:07,,,
,03:07,,,TIMEOUTMEDIA
REBOUND(DEF)byJacksonVance,03:07,,,MISSEDFTSHOTbyPritchardPayton
SUBIN:FaceyKentan,03:07,,,
SUBOUT:EnochSteven,03:07,,,
TURNOVRbyPurvisRodney,02:53,,,
,02:41,,,,25-36,-11,GOOD!LAYUPbyBoucherChris[PNT]
MISSEDJUMPERbyAdamsJalen,02:10,,,REBOUND(DEF)byBellJordan
REBOUND(DEF)byFaceyKentan,02:00,,,MISSEDLAYUPbyBoucherChris
MISSED3PTRbyPurvisRodney,01:48,,,REBOUND(DEF)byDorseyTyler
,01:41,,,,25-38,-13,GOOD!LAYUPbyEnnisDylan[FB/PNT]
,01:41,,,ASSISTbyDorseyTyler
GOOD!3PTRbyAdamsJalen,01:09,28-38,-10,
,00:43,,,MISSED3PTRbyEnnisDylan
,00:43,,,REBOUND(OFF)byBellJordan
REBOUND(DEF)byVitalChristian,00:40,,,MISSEDLAYUPbyBellJordan
