PLAYUC,TIME,SCORE,MAR,PLAYVisitor
,19:43,,,MISSED3PTRbyHANKERSONCedric
,19:43,,,REBOUND(OFF)byHAVENERNick
REBOUND(DEF)by(TEAM),19:30,,,MISSEDJUMPERbyALSTONJustin
MISSEDJUMPERbyAdamsJalen,18:59,,,REBOUND(DEF)byHAVENERNick
REBOUND(DEF)byPurvisRodney,18:45,,,MISSEDJUMPERbyBARNESDestin
MISSEDJUMPERbyEnochSteven,18:33,,,REBOUND(DEF)byHAVENERNick
,18:08,,,TURNOVRbyBARNESDestin
STEALbyAdamsJalen,18:07,,,
GOOD!FTSHOTbyBrimahAmida,17:51,1-0,1,FOULbyALSTONJustin(P1T1)
GOOD!FTSHOTbyBrimahAmida,17:51,2-0,2,
,17:37,2-2,0,GOOD!JUMPERbyALSTONJustin[PNT]
TURNOVRbyBrimahAmida,17:22,,,
,17:09,,,MISSEDJUMPERbyALSTONJustin
,17:09,,,REBOUND(OFF)byHAVENERNick
,17:02,,,TURNOVRbyFOREMANKyle
STEALbyEnochSteven,17:01,,,
,16:57,,,FOULbyHANKERSONCedric(P1T2)
SUBIN:FaceyKentan,16:57,,,
SUBOUT:EnochSteven,16:57,,,
GOOD!JUMPERbyFaceyKentan[PNT],16:46,4-2,2,
ASSISTbyAdamsJalen,16:46,,,
,16:25,,,TURNOVRbyHANKERSONCedric
STEALbyPurvisRodney,16:24,,,
TURNOVRbyVitalChristian,16:20,,,
,16:18,,,STEALbyFOREMANKyle
,16:15,4-4,0,GOOD!LAYUPbyFOREMANKyle[FB/PNT]
MISSEDJUMPERbyFaceyKentan,15:58,,,REBOUND(DEF)by(TEAM)
,15:57,,,TIMEOUTmedia
,15:57,,,SUBIN:MBARGORBABlaise
,15:57,,,SUBIN:FANNINGEric
,15:57,,,SUBIN:SCANLONTyler
,15:57,,,SUBOUT:ALSTONJustin
,15:57,,,SUBOUT:HAVENERNick
,15:57,,,SUBOUT:BARNESDestin
,15:42,,,MISSEDJUMPERbyFANNINGEric
,15:42,,,REBOUND(OFF)byMBARGORBABlaise
,15:30,4-6,-2,GOOD!LAYUPbyFANNINGEric[PNT]
,15:30,,,ASSISTbyHANKERSONCedric
MISSEDJUMPERbyAdamsJalen,15:11,,,REBOUND(DEF)byFANNINGEric
,15:03,,,TURNOVRbyHANKERSONCedric
,15:03,,,SUBIN:MOSELYCheddi
,15:03,,,SUBOUT:HANKERSONCedric
MISSEDJUMPERbyPurvisRodney,14:44,,,REBOUND(DEF)byMOSELYCheddi
,14:27,4-9,-5,GOOD!3PTRbyFANNINGEric
,14:27,,,ASSISTbyFOREMANKyle
TIMEOUT30sec,14:25,,,
SUBIN:JacksonVance,14:25,,,
SUBOUT:BrimahAmida,14:25,,,
GOOD!3PTRbyPurvisRodney,14:09,7-9,-2,
ASSISTbyJacksonVance,14:09,,,
,13:48,,,TURNOVRbyFOREMANKyle
MISSEDLAYUPbyFaceyKentan,13:32,,,REBOUND(DEF)byFOREMANKyle
REBOUND(DEF)byFaceyKentan,13:10,,,MISSED3PTRbyMOSELYCheddi
MISSEDJUMPERbyJacksonVance,12:51,,,
REBOUND(OFF)by(TEAM),12:51,,,
SUBIN:DurhamJuwan,12:48,,,SUBIN:ALSTONJustin
SUBIN:EnochSteven,12:48,,,SUBOUT:MBARGORBABlaise
SUBOUT:VitalChristian,12:48,,,
SUBOUT:FaceyKentan,12:48,,,
MISSED3PTRbyPurvisRodney,12:41,,,REBOUND(DEF)byALSTONJustin
,12:32,,,MISSED3PTRbyFOREMANKyle
,12:32,,,REBOUND(OFF)bySCANLONTyler
STEALbyAdamsJalen,12:29,,,TURNOVRbySCANLONTyler
,12:29,,,SUBIN:JOHNSONEric
,12:29,,,SUBOUT:FOREMANKyle
MISSEDLAYUPbyAdamsJalen,12:10,,,
REBOUND(OFF)byEnochSteven,12:10,,,
GOOD!FTSHOTbyEnochSteven,12:10,8-9,-1,FOULbyFANNINGEric(P1T3)
MISSEDFTSHOTbyEnochSteven,12:10,,,REBOUND(DEF)byFANNINGEric
,11:56,,,TURNOVRbyFANNINGEric
TIMEOUTmedia,11:55,,,
MISSEDLAYUPbyPurvisRodney,11:29,,,REBOUND(DEF)bySCANLONTyler
,11:19,8-11,-3,GOOD!JUMPERbyALSTONJustin
,11:19,,,ASSISTbyJOHNSONEric
MISSEDJUMPERbyAdamsJalen,10:53,,,REBOUND(DEF)byJOHNSONEric
SUBIN:VitalChristian,10:49,,,
SUBOUT:PurvisRodney,10:49,,,
,10:34,,,TURNOVRbyFANNINGEric
STEALbyAdamsJalen,10:33,,,
,10:31,,,FOULbySCANLONTyler(P1T4)
,10:31,,,SUBIN:HAVENERNick
,10:31,,,SUBOUT:SCANLONTyler
MISSED3PTRbyVitalChristian,10:19,,,REBOUND(DEF)byFANNINGEric
,10:01,8-13,-5,GOOD!LAYUPbyHAVENERNick[PNT]
TURNOVRbyAdamsJalen,09:49,,,
,09:48,,,STEALbyALSTONJustin
REBOUND(DEF)byJacksonVance,09:31,,,MISSED3PTRbyFANNINGEric
SUBIN:BrimahAmida,09:24,,,SUBIN:FOREMANKyle
SUBOUT:EnochSteven,09:24,,,SUBOUT:JOHNSONEric
GOOD!JUMPERbyBrimahAmida,09:13,10-13,-3,
ASSISTbyVitalChristian,09:13,,,
REBOUND(DEF)byDurhamJuwan,08:54,,,MISSEDLAYUPbyHAVENERNick
MISSED3PTRbyAdamsJalen,08:29,,,REBOUND(DEF)byFANNINGEric
,08:13,,,TURNOVRbyFANNINGEric
SUBIN:FaceyKentan,08:13,,,SUBIN:HANKERSONCedric
SUBIN:PurvisRodney,08:13,,,SUBIN:BARNESDestin
SUBOUT:DurhamJuwan,08:13,,,SUBIN:HAINESDylan
SUBOUT:AdamsJalen,08:13,,,SUBOUT:ALSTONJustin
,08:13,,,SUBOUT:MOSELYCheddi
,08:13,,,SUBOUT:FANNINGEric
GOOD!3PTRbyVitalChristian,07:50,13-13,0,
ASSISTbyPurvisRodney,07:50,,,
,07:29,,,MISSEDJUMPERbyHAINESDylan
,07:29,,,REBOUND(OFF)byHAVENERNick
REBOUND(DEF)byFaceyKentan,07:26,,,MISSEDDUNKbyHAVENERNick
MISSED3PTRbyJacksonVance,07:14,,,REBOUND(DEF)by(TEAM)
,07:12,,,TIMEOUTmedia
,06:51,,,MISSED3PTRbyBARNESDestin
,06:51,,,REBOUND(OFF)by(TEAM)
FOULbyFaceyKentan(P1T1),06:51,,,
,06:49,,,TURNOVRbyFOREMANKyle
STEALbyVitalChristian,06:47,,,
GOOD!FTSHOTbyBrimahAmida,06:30,14-13,1,FOULbyHAINESDylan(P1T5)
GOOD!FTSHOTbyBrimahAmida,06:30,15-13,2,
REBOUND(DEF)byJacksonVance,06:14,,,MISSED3PTRbyHAVENERNick
MISSEDJUMPERbyPurvisRodney,05:50,,,REBOUND(DEF)byHAVENERNick
BLOCKbyBrimahAmida,05:34,,,MISSEDLAYUPbyHAVENERNick
,05:33,,,REBOUND(OFF)byHAINESDylan
REBOUND(DEF)byBrimahAmida,05:30,,,MISSED3PTRbyHANKERSONCedric
MISSED3PTRbyPurvisRodney,05:05,,,REBOUND(DEF)byFOREMANKyle
REBOUND(DEF)byVitalChristian,04:39,,,MISSEDJUMPERbyHAINESDylan
MISSED3PTRbyJacksonVance,04:28,,,REBOUND(DEF)byHANKERSONCedric
,04:15,,,TURNOVRbyHAVENERNick
SUBIN:EnochSteven,04:15,,,SUBIN:SCANLONTyler
SUBIN:AdamsJalen,04:15,,,SUBIN:ALSTONJustin
SUBOUT:BrimahAmida,04:15,,,SUBIN:FANNINGEric
SUBOUT:JacksonVance,04:15,,,SUBOUT:BARNESDestin
,04:15,,,SUBOUT:HAINESDylan
,04:15,,,SUBOUT:HAVENERNick
MISSEDJUMPERbyAdamsJalen,03:49,,,REBOUND(DEF)byALSTONJustin
BLOCKbyFaceyKentan,03:42,,,MISSEDLAYUPbyFANNINGEric
REBOUND(DEF)byVitalChristian,03:40,,,
,03:40,,,FOULbyFANNINGEric(P2T6)
TIMEOUTmedia,03:39,,,
,03:39,,,SUBIN:MOSELYCheddi
,03:39,,,SUBOUT:FANNINGEric
GOOD!JUMPERbyFaceyKentan[PNT],03:20,17-13,4,
ASSISTbyPurvisRodney,03:20,,,
,02:57,17-15,2,GOOD!LAYUPbyALSTONJustin[PNT]
,02:57,,,ASSISTbyFOREMANKyle
GOOD!JUMPERbyAdamsJalen,02:29,19-15,4,
