PLAYUC,TIME,SCORE,MAR,PLAYVisitor
MISSED3PTRbyPurvisRodney,19:48,,,
REBOUND(OFF)byBrimahAmida,19:48,,,
GOOD!LAYUPbyBrimahAmida[PNT],19:45,2-0,2,
,19:22,,,MISSED3PTRbyWHITEIIIANDREW
,19:22,,,REBOUND(OFF)byCOLEMANDAJUAN
,19:06,2-3,-1,GOOD!3PTRbyBATTLETYUS
,19:06,,,ASSISTbyCOLEMANDAJUAN
TURNOVRbyPurvisRodney,18:42,,,
,18:27,,,TURNOVRbyCOLEMANDAJUAN
STEALbyAdamsJalen,18:26,,,
MISSEDLAYUPbyVitalChristian,18:24,,,REBOUND(DEF)byWHITEIIIANDREW
FOULbyVitalChristian(P1T1),18:19,,,
REBOUND(DEF)byAdamsJalen,18:06,,,MISSED3PTRbyBATTLETYUS
MISSEDJUMPERbyEnochSteven,17:49,,,REBOUND(DEF)by(TEAM)
,17:38,,,MISSED3PTRbyLYDONTYLER
,17:38,,,REBOUND(OFF)byCOLEMANDAJUAN
REBOUND(DEF)byBrimahAmida,17:30,,,MISSEDJUMPERbyHOWARDFRANK
MISSEDJUMPERbyBrimahAmida,17:08,,,REBOUND(DEF)byLYDONTYLER
,16:46,,,MISSEDJUMPERbyWHITEIIIANDREW
,16:46,,,REBOUND(OFF)byCOLEMANDAJUAN
FOULbyEnochSteven(P1T2),16:45,,,
SUBIN:FaceyKentan,16:45,,,
SUBIN:JacksonVance,16:45,,,
SUBOUT:BrimahAmida,16:45,,,
SUBOUT:EnochSteven,16:45,,,
REBOUND(DEF)byFaceyKentan,16:33,,,MISSEDJUMPERbyLYDONTYLER
MISSED3PTRbyVitalChristian,16:13,,,REBOUND(DEF)byLYDONTYLER
,15:56,,,TURNOVRbyCOLEMANDAJUAN
TIMEOUTMEDIA,15:56,,,
MISSEDJUMPERbyPurvisRodney,15:32,,,
REBOUND(OFF)byFaceyKentan,15:32,,,
MISSEDLAYUPbyFaceyKentan,15:29,,,BLOCKbyLYDONTYLER
,15:26,,,REBOUND(DEF)byCOLEMANDAJUAN
,15:12,,,TURNOVRbyBATTLETYUS
STEALbyAdamsJalen,15:11,,,
,14:55,,,FOULbyHOWARDFRANK(P1T1)
TURNOVRbyJacksonVance,14:42,,,
REBOUND(DEF)byPurvisRodney,14:19,,,MISSEDJUMPERbyCOLEMANDAJUAN
TURNOVRbyAdamsJalen,14:12,,,
,14:11,,,STEALbyWHITEIIIANDREW
FOULbyPurvisRodney(P1T3),14:10,2-4,-2,GOOD!FTSHOTbyWHITEIIIANDREW
,14:10,2-5,-3,GOOD!FTSHOTbyWHITEIIIANDREW
SUBIN:DurhamJuwan,14:10,,,
SUBOUT:VitalChristian,14:10,,,
,13:50,,,FOULbyLYDONTYLER(P1T2)
,13:50,,,SUBIN:ROBERSONTYLER
,13:50,,,SUBIN:GILLONJOHN
,13:50,,,SUBOUT:HOWARDFRANK
,13:50,,,SUBOUT:COLEMANDAJUAN
TURNOVRbyPurvisRodney,13:48,,,
,13:47,,,STEALbyGILLONJOHN
,13:46,2-7,-5,GOOD!LAYUPbyROBERSONTYLER[FB/PNT]
,13:46,,,ASSISTbyGILLONJOHN
TURNOVRbyDurhamJuwan,13:32,,,
,13:31,,,STEALbyLYDONTYLER
FOULbyDurhamJuwan(P1T4),13:15,2-8,-6,GOOD!FTSHOTbyBATTLETYUS
REBOUND(DEF)byPurvisRodney,13:15,,,MISSEDFTSHOTbyBATTLETYUS
SUBIN:BrimahAmida,13:15,,,
SUBOUT:DurhamJuwan,13:15,,,
GOOD!JUMPERbyAdamsJalen,13:05,4-8,-4,
REBOUND(DEF)byPurvisRodney,12:42,,,MISSED3PTRbyWHITEIIIANDREW
MISSED3PTRbyJacksonVance,12:22,,,REBOUND(DEF)byROBERSONTYLER
REBOUND(DEF)by(TEAM),12:14,,,MISSED3PTRbyGILLONJOHN
SUBIN:VitalChristian,12:10,,,
SUBOUT:JacksonVance,12:10,,,
GOOD!JUMPERbyFaceyKentan,11:48,6-8,-2,
ASSISTbyAdamsJalen,11:48,,,
REBOUND(DEF)byPurvisRodney,11:28,,,MISSED3PTRbyGILLONJOHN
TURNOVRbyPurvisRodney,11:23,,,
,11:22,,,STEALbyWHITEIIIANDREW
,11:17,6-10,-4,GOOD!LAYUPbyROBERSONTYLER[PNT]
,11:17,,,ASSISTbyGILLONJOHN
FOULbyBrimahAmida(P1T5),11:17,,,
,11:17,,,TIMEOUTmedia
,11:17,6-11,-5,GOOD!FTSHOTbyROBERSONTYLER
SUBIN:EnochSteven,11:17,,,SUBIN:THOMPSONTAUREAN
SUBOUT:BrimahAmida,11:17,,,SUBOUT:BATTLETYUS
GOOD!3PTRbyAdamsJalen,10:54,9-11,-2,
ASSISTbyFaceyKentan,10:54,,,
REBOUND(DEF)byVitalChristian,10:39,,,MISSED3PTRbyWHITEIIIANDREW
MISSEDJUMPERbyAdamsJalen,10:14,,,
REBOUND(OFF)byFaceyKentan,10:14,,,
