PLAYHome,TIME,SCORE,MAR,PLAYUC
MISSED3PTRbyLyleJaQuan,19:36,,,REBOUND(DEF)byBrimahAmida
,19:19,0-2,-2,GOOD!JUMPERbyAdamsJalen
,19:19,,,ASSISTbyPurvisRodney
MISSED3PTRbyWilliamsKam,19:08,,,REBOUND(DEF)byBrimahAmida
,18:42,,,TURNOVRbyEnochSteven
,18:42,,,FOULbyEnochSteven(P1T1)
,18:31,,,FOULbyVitalChristian(P1T2)
MISSEDJUMPERbyTateJae'Sean,18:13,,,REBOUND(DEF)byPurvisRodney
REBOUND(DEF)byTateJae'Sean,18:07,,,MISSEDLAYUPbyVitalChristian
GOOD!3PTRbyWilliamsKam,17:54,3-2,1,
ASSISTbyLyleJaQuan,17:54,,,
,17:34,3-4,-1,GOOD!JUMPERbyBrimahAmida[PNT]
GOOD!LAYUPbyTateJae'Sean[PNT],17:11,5-4,1,
ASSISTbyLyleJaQuan,17:11,,,
REBOUND(DEF)byPotterMicah,16:49,,,MISSEDJUMPERbyPurvisRodney
TURNOVRbyTateJae'Sean,16:39,,,
FOULbyPotterMicah(P1T1),16:39,,,
REBOUND(DEF)byPotterMicah,16:29,,,MISSED3PTRbyVitalChristian
GOOD!LAYUPbyLyleJaQuan[FB/PNT],16:22,7-4,3,
ASSISTbyPotterMicah,16:22,,,
,16:18,,,SUBIN:JacksonVance
,16:18,,,SUBOUT:VitalChristian
,16:17,,,TURNOVRbyEnochSteven
STEALbyLyleJaQuan,16:15,,,
GOOD!3PTRbyLovingMarc,16:10,10-4,6,
ASSISTbyLyleJaQuan,16:10,,,
,15:55,,,TURNOVRbyAdamsJalen
TIMEOUTmedia,15:55,,,
,15:55,,,SUBIN:FaceyKentan
,15:55,,,SUBOUT:EnochSteven
GOOD!LAYUPbyTateJae'Sean[PNT],15:37,12-4,8,
,15:18,12-6,6,GOOD!LAYUPbyAdamsJalen[PNT]
MISSED3PTRbyWilliamsKam,14:52,,,REBOUND(DEF)byBrimahAmida
,14:32,,,TURNOVRbyBrimahAmida
STEALbyLyleJaQuan,14:31,,,
MISSEDFTSHOTbyTateJae'Sean,14:27,,,FOULbyFaceyKentan(P1T3)
REBOUND(OFF)by(DEADBALL),14:27,,,
GOOD!FTSHOTbyTateJae'Sean,14:27,13-6,7,
SUBIN:ThompsonTrevor,14:27,,,SUBIN:EnochSteven
SUBIN:Bates-DiopKeita,14:27,,,SUBOUT:BrimahAmida
SUBOUT:PotterMicah,14:27,,,
SUBOUT:WilliamsKam,14:27,,,
REBOUND(DEF)byThompsonTrevor,14:10,,,MISSEDJUMPERbyEnochSteven
,14:09,,,FOULbyFaceyKentan(P2T4)
MISSEDJUMPERbyLyleJaQuan,13:44,,,REBOUND(DEF)byFaceyKentan
,13:26,,,TURNOVRbyJacksonVance
SUBIN:JacksonC.J.,13:26,,,SUBIN:VitalChristian
SUBOUT:LyleJaQuan,13:26,,,SUBOUT:FaceyKentan
MISSED3PTRbyLovingMarc,13:14,,,REBOUND(DEF)byPurvisRodney
,12:56,,,MISSEDJUMPERbyEnochSteven
,12:56,,,REBOUND(OFF)by(TEAM)
,12:51,,,SUBIN:BrimahAmida
,12:51,,,SUBOUT:EnochSteven
,12:37,13-9,4,GOOD!3PTRbyPurvisRodney
MISSEDLAYUPbyThompsonTrevor,12:17,,,REBOUND(DEF)byPurvisRodney
FOULbyBates-DiopKeita(P1T2),12:11,,,MISSEDFTSHOTbyJacksonVance
,12:11,,,REBOUND(OFF)by(DEADBALL)
,12:11,13-10,3,GOOD!FTSHOTbyJacksonVance
SUBIN:WilliamsKam,12:11,,,SUBIN:EnochSteven
SUBOUT:TateJae'Sean,12:11,,,SUBOUT:AdamsJalen
MISSED3PTRbyWilliamsKam,11:46,,,
REBOUND(OFF)byBates-DiopKeita,11:46,,,
,11:42,,,FOULbyEnochSteven(P2T5)
TIMEOUTmedia,11:42,,,
,11:42,,,SUBIN:AdamsJalen
,11:42,,,SUBOUT:JacksonVance
GOOD!JUMPERbyBates-DiopKeita[PNT],11:40,15-10,5,
FOULbyBates-DiopKeita(P2T3),11:17,15-11,4,GOOD!FTSHOTbyEnochSteven
REBOUND(DEF)byThompsonTrevor,11:17,,,MISSEDFTSHOTbyEnochSteven
SUBIN:LyleJaQuan,11:17,,,
SUBIN:TateJae'Sean,11:17,,,
SUBOUT:JacksonC.J.,11:17,,,
