PLAYUC,TIME,SCORE,MAR,PLAYVisitor
,,,,
,19:43,,,MISSED3PTRbySAUNDERSRomone
,19:43,,,REBOUND(OFF)byAAMANMike
,19:37,,,TURNOVRbySAUNDERSRomone
GOOD!DUNKbyBrimahAmida[PNT],19:23,Feb-00,2,
ASSISTbyAdamsJalen,19:23,,,
,18:55,,,MISSEDJUMPERbyCAREYMichael
,18:55,,,REBOUND(OFF)byAAMANMike
,18:53,2-Feb,0,GOOD!LAYUPbyAAMANMike[PNT]
MISSED3PTRbyLarrierTerry,18:42,,,REBOUND(DEF)bySAUNDERSRomone
,18:10,4-Feb,-2,GOOD!JUMPERbySAUNDERSRomone[PNT]
TURNOVRbyLarrierTerry,17:45,,,
,17:44,,,STEALbyCAREYMichael
FOULbyPurvisRodney(P1T1),17:31,,,
,17:16,7-Feb,-5,GOOD!3PTRbyCAREYMichael
,17:16,,,ASSISTbyHENSONCorey
MISSEDLAYUPbyAdamsJalen,16:53,,,REBOUND(DEF)by(TEAM)
FOULbyBrimahAmida(P1T2),16:53,,,
SUBIN:EnochSteven,16:53,,,
SUBOUT:BrimahAmida,16:53,,,
SUBOUT:PurvisRodney,16:53,,,
BLOCKbyEnochSteven,16:32,,,MISSEDLAYUPbyCAREYMichael
,16:31,,,REBOUND(OFF)byAAMANMike
REBOUND(DEF)byAdamsJalen,16:29,,,MISSEDLAYUPbyAAMANMike
MISSEDLAYUPbyAdamsJalen,16:25,,,
REBOUND(OFF)byLarrierTerry,16:25,,,
GOOD!TIP-INbyLarrierTerry[FB/PNT],16:22,7-Apr,-3,
,16:05,9-Apr,-5,GOOD!JUMPERbyHENSONCorey
MISSEDJUMPERbyEnochSteven,15:44,,,REBOUND(DEF)bySAUNDERSRomone
,15:32,11-Apr,-7,GOOD!JUMPERbyAAMANMike
GOOD!3PTRbyLarrierTerry,15:12,11-Jul,-4,
ASSISTbyFaceyKentan,15:12,,,
,14:44,13-Jul,-6,GOOD!LAYUPbyAAMANMike[PNT]
,14:44,,,ASSISTbyCAREYMichael
MISSED3PTRbyLarrierTerry,14:35,,,
REBOUND(OFF)by(TEAM),14:35,,,
TIMEOUTmedia,14:33,,,
SUBIN:VitalChristian,14:33,,,SUBIN:SCOTTShack
SUBOUT:FaceyKentan,14:33,,,SUBIN:SUMBRYAJ
,14:33,,,SUBOUT:SALMONMarquis
,14:33,,,SUBOUT:AAMANMike
GOOD!JUMPERbyGilbertAlterique,14:11,13-Sep,-4,
